,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,全国棉花累计检验量|DZ,2014-12-15,2021-10-26,,286.6,,
1,全国棉花累计检验量|DZ,2014-12-16,2021-10-26,,286.6,,
2,全国棉花累计检验量|DZ,2014-12-17,2021-10-26,,294.5,,
3,全国棉花累计检验量|DZ,2014-12-18,2021-10-26,,294.5,,
4,全国棉花累计检验量|DZ,2014-12-19,2021-10-26,,302.4,,
5,全国棉花累计检验量|DZ,2014-12-22,2021-10-26,,309.7,,
6,全国棉花累计检验量|DZ,2014-12-23,2021-10-26,,317.7,,
7,全国棉花累计检验量|DZ,2014-12-24,2021-10-26,,317.7,,
8,全国棉花累计检验量|DZ,2014-12-25,2021-10-26,,325.4,,
9,全国棉花累计检验量|DZ,2014-12-28,2021-10-26,,342.0,,
10,全国棉花累计检验量|DZ,2015-01-19,2021-10-26,,459.9,,
11,全国棉花累计检验量|DZ,2015-01-25,2021-10-26,,471.8,,
12,全国棉花累计检验量|DZ,2015-02-08,2021-10-26,,491.0,,
13,全国棉花累计检验量|DZ,2015-02-25,2021-10-26,,410.3,,
14,全国棉花累计检验量|DZ,2015-03-09,2021-10-26,,410.2,,
15,全国棉花累计检验量|DZ,2015-03-14,2021-10-26,,497.3,,
16,全国棉花累计检验量|DZ,2015-03-22,2021-10-26,,500.9,,
17,全国棉花累计检验量|DZ,2015-03-29,2021-10-26,,413.2,,
18,全国棉花累计检验量|DZ,2015-04-07,2021-10-26,,415.3,,
19,全国棉花累计检验量|DZ,2015-04-13,2021-10-26,,415.5,,
20,全国棉花累计检验量|DZ,2015-04-19,2021-10-26,,415.7,,
21,全国棉花累计检验量|DZ,2015-05-04,2021-10-26,,415.9,,
22,全国棉花累计检验量|DZ,2015-05-23,2021-10-26,,416.1,,
23,全国棉花累计检验量|DZ,2016-09-20,2021-10-26,,0.146362,,
24,全国棉花累计检验量|DZ,2016-09-21,2021-10-26,,0.138791,,
25,全国棉花累计检验量|DZ,2016-09-22,2021-10-26,,0.213954,,
26,全国棉花累计检验量|DZ,2016-09-25,2021-10-26,,0.571715,,
27,全国棉花累计检验量|DZ,2016-09-26,2021-10-26,,0.571715,,
28,全国棉花累计检验量|DZ,2016-09-27,2021-10-26,,1.110984,,
29,全国棉花累计检验量|DZ,2016-09-28,2021-10-26,,2.059916,,
30,全国棉花累计检验量|DZ,2016-09-29,2021-10-26,,2.849293,,
