,SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
0,R.CN.CZC.CF.0004,2005-02-21,13000.0,13325.0,13000.0,13180.0,6168.0,6324.0,13230.0,1.0
1,R.CN.CZC.CF.0004,2005-02-22,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
2,R.CN.CZC.CF.0004,2005-02-23,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
3,R.CN.CZC.CF.0004,2005-02-24,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
4,R.CN.CZC.CF.0004,2005-02-25,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
5,R.CN.CZC.CF.0004,2005-02-28,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
6,R.CN.CZC.CF.0004,2005-03-01,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
7,R.CN.CZC.CF.0004,2005-03-02,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
8,R.CN.CZC.CF.0004,2005-03-03,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
9,R.CN.CZC.CF.0004,2005-03-04,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
10,R.CN.CZC.CF.0004,2005-03-07,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
11,R.CN.CZC.CF.0004,2005-03-08,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
12,R.CN.CZC.CF.0004,2005-03-09,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
13,R.CN.CZC.CF.0004,2005-03-10,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
14,R.CN.CZC.CF.0004,2005-03-11,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
15,R.CN.CZC.CF.0004,2005-03-14,13555.0,13575.0,13400.0,13405.0,0.0,27184.0,13405.0,0.983215218202163
